box_id,box_type,box_name_ja,jfct_code,jfct_group_no,jfct_group_ja,residual_q,n_records,n_source_A,n_source_B,n_source_C,n_layer_A,n_layer_B,n_layer_C,energy_kcal_n,energy_kcal_mean,energy_kcal_sd,protein_g_n,protein_g_mean,protein_g_sd,fat_g_n,fat_g_mean,fat_g_sd,carbohydrate_g_n,carbohydrate_g_mean,carbohydrate_g_sd,salt_equiv_g_n,salt_equiv_g_mean,salt_equiv_g_sd
01004,P,えんばく オートミール,01004,1,穀類,0,13,1,4,8,13,0,0,13,320.27,116.6,13,11.51,4.25,13,6.34,1.92,13,57.6,22.43,13,0.2,0.49
01006,P,おおむぎ 押麦 乾,01006,1,穀類,0,3,2,1,0,3,0,0,3,332.33,4.04,3,6.2,0.17,3,1.53,0.23,3,78.3,0.56,3,0.0,0.01
01007,P,おおむぎ 米粒麦,01007,1,穀類,0,5,4,1,0,2,3,0,5,334.2,3.49,5,7.8,1.23,5,1.7,0.28,5,77.6,1.06,5,0.01,0.01
01015,P,こむぎ ［小麦粉］ 薄力粉 1等,01015,1,穀類,0,14,10,4,0,14,0,0,14,351.93,5.69,14,10.49,2.02,14,1.65,0.28,14,74.44,2.25,14,0.27,0.69
01020,P,こむぎ ［小麦粉］ 強力粉 1等,01020,1,穀類,0,2,1,1,0,2,0,0,2,351.5,7.78,2,12.75,0.35,2,1.2,0.28,2,73.0,1.41,2,0.8,1.13
01024,P,こむぎ ［小麦粉］ プレミックス粉 ホットケーキ用,01024,1,穀類,0,16,12,4,0,16,0,0,15,350.31,30.41,15,6.15,1.84,15,6.47,6.33,15,58.93,24.78,15,1.16,0.59
01025,P,こむぎ ［小麦粉］ プレミックス粉 天ぷら用,01025,1,穀類,0,4,2,1,1,4,0,0,4,354.0,5.23,4,8.72,0.96,4,1.58,0.21,4,75.68,0.93,4,0.62,0.32
01026,P,こむぎ ［パン類］ 角形食パン 食パン,01026,1,穀類,0,86,56,26,4,86,0,0,86,256.51,10.61,86,8.86,0.63,86,3.92,1.07,86,46.92,1.63,86,1.15,0.18
01031,P,こむぎ ［パン類］ フランスパン,01031,1,穀類,0,7,0,5,2,7,0,0,7,274.89,22.88,7,8.3,1.58,7,6.29,3.96,7,47.66,5.9,7,1.09,0.3
01032,P,こむぎ ［パン類］ ライ麦パン,01032,1,穀類,0,1,0,0,1,1,0,0,1,249.0,,1,7.5,,1,7.1,,1,42.7,,1,1.0,
01033,P,こむぎ ［パン類］ ぶどうパン,01033,1,穀類,0,9,4,5,0,9,0,0,9,313.97,38.75,9,8.03,0.96,9,8.46,5.41,9,52.14,2.83,9,0.7,0.11
01034,P,こむぎ ［パン類］ ロールパン,01034,1,穀類,0,25,16,9,0,25,0,0,25,315.9,35.92,25,8.75,0.95,25,9.38,4.26,25,49.49,5.59,25,1.04,0.33
01037,P,こむぎ ［パン類］ ナン,01037,1,穀類,0,3,0,2,1,3,0,0,2,278.26,22.68,2,8.9,0.46,2,5.93,1.32,2,48.45,3.0,2,0.93,0.1
01038,P,こむぎ ［うどん・そうめん類］ うどん 生,01038,1,穀類,0,5,2,0,3,5,0,0,5,171.0,73.2,5,5.08,3.03,5,0.85,0.56,5,35.82,14.67,5,1.71,1.41
01039,P,こむぎ ［うどん・そうめん類］ うどん ゆで,01039,1,穀類,0,53,23,26,4,53,0,0,52,124.48,12.25,52,3.25,0.91,52,0.75,0.89,52,26.45,2.53,52,0.65,0.61
01041,P,こむぎ ［うどん・そうめん類］ 干しうどん 乾,01041,1,穀類,0,9,5,4,0,9,0,0,9,306.56,78.28,9,7.63,2.03,9,1.23,0.41,9,66.83,16.89,9,4.05,1.47
01043,P,こむぎ ［うどん・そうめん類］ そうめん・ひやむぎ 乾,01043,1,穀類,0,10,4,6,0,10,0,0,10,313.2,67.63,10,8.44,1.79,10,1.25,0.36,10,67.65,14.49,10,3.87,1.33
01045,P,こむぎ ［うどん・そうめん類］ 手延そうめん・手延ひやむぎ 乾,01045,1,穀類,0,14,12,2,0,14,0,0,14,242.43,87.0,14,6.76,2.34,14,1.26,0.52,14,51.17,18.79,14,3.28,0.82
01047,P,こむぎ ［中華めん類］ 中華めん 生,01047,1,穀類,0,61,23,37,1,56,5,0,61,249.67,60.53,61,7.14,2.42,61,2.39,4.57,61,47.2,15.23,61,2.27,1.35
01048,P,こむぎ ［中華めん類］ 中華めん ゆで,01048,1,穀類,0,19,14,4,1,19,0,0,19,179.41,55.29,19,5.71,2.71,19,3.81,2.66,19,22.32,11.66,19,2.27,1.32
01049,P,こむぎ ［中華めん類］ 蒸し中華めん 蒸し中華めん,01049,1,穀類,0,26,9,17,0,26,0,0,25,171.62,64.6,25,5.1,1.23,25,2.66,4.03,25,32.36,7.12,25,1.51,1.3
